Cardio,Resp,Hypo,Adm,year,month
1,0,0,413,1999,11
1,0,0,443,1999,12
1,0,0,378,2000,1
0,0,0,385,2000,2
1,0,0,388,2000,3
0,0,0,406,2000,4
3,0,0,409,2000,5
0,1,0,425,2000,6
0,1,0,453,2000,7
1,0,0,411,2000,8
1,0,1,407,2000,9
0,0,0,417,2000,10
1,0,0,422,2000,11
1,0,0,426,2000,12
0,0,0,427,2001,1
0,0,0,410,2001,2
1,0,0,450,2001,3
2,0,1,449,2001,4
0,0,0,438,2001,5
0,0,0,446,2001,6
1,0,1,460,2001,7
0,0,1,437,2001,8
0,0,0,475,2001,9
1,0,0,464,2001,10
1,1,0,467,2001,11
0,1,0,499,2001,12
0,0,0,459,2002,1
1,0,0,461,2002,2
1,0,0,488,2002,3
2,0,0,486,2002,4
2,0,0,515,2002,5
0,0,0,457,2002,6
0,1,0,558,2002,7
3,0,0,519,2002,8
2,0,0,509,2002,9
0,0,0,519,2002,10
2,1,0,544,2002,11
2,1,1,532,2002,12
0,0,0,509,2003,1
2,1,0,532,2003,2
1,0,1,598,2003,3
1,0,0,495,2003,4
0,1,0,543,2003,5
0,0,0,555,2003,6
1,0,0,553,2003,7
3,1,0,532,2003,8
1,0,0,579,2003,9
2,0,0,633,2003,10
0,0,0,622,2003,11
0,4,0,644,2003,12
1,2,0,624,2004,1
3,2,1,553,2004,2
1,0,0,628,2004,3
1,0,0,671,2004,4
1,0,0,713,2004,5
0,0,0,684,2004,6
1,1,0,724,2004,7
1,0,0,655,2004,8
1,0,1,714,2004,9
0,0,0,664,2004,10
1,0,0,589,2004,11
1,0,0,567,2004,12
2,0,0,617,2005,1
0,1,0,542,2005,2
1,0,0,565,2005,3
1,1,0,592,2005,4
1,0,0,635,2005,5
0,0,0,567,2005,6
1,0,0,598,2005,7
1,0,0,514,2005,8
2,0,0,551,2005,9
0,0,0,613,2005,10
0,0,0,499,2005,11
1,0,0,537,2005,12
2,0,0,533,2006,1
1,1,0,490,2006,2
0,1,0,567,2006,3
0,0,0,538,2006,4
0,1,0,506,2006,5
2,0,0,529,2006,6
0,0,0,548,2006,7
1,0,1,564,2006,8
3,0,0,522,2006,9
1,0,0,537,2006,10
2,0,0,559,2006,11
1,0,0,579,2006,12
0,0,0,560,2007,1
0,0,0,493,2007,2
1,0,0,570,2007,3
1,0,0,519,2007,4
2,0,0,512,2007,5
0,0,0,539,2007,6
0,0,0,556,2007,7
0,0,0,532,2007,8
0,0,0,539,2007,9
1,0,0,593,2007,10
1,0,0,551,2007,11
1,0,0,559,2007,12
0,0,0,480,2008,1
2,0,0,474,2008,2
0,0,0,523,2008,3
1,0,0,510,2008,4
0,2,0,503,2008,5
0,0,0,498,2008,6
1,0,0,532,2008,7
1,0,0,530,2008,8
2,0,0,550,2008,9
0,1,0,561,2008,10
3,1,0,550,2008,11
0,0,0,637,2008,12
2,0,1,603,2009,1
1,0,0,520,2009,2
2,0,1,624,2009,3
0,0,0,596,2009,4
2,0,0,656,2009,5
1,1,0,558,2009,6
2,0,0,566,2009,7
1,1,0,541,2009,8
0,0,0,579,2009,9
1,0,0,616,2009,10
0,1,0,537,2009,11
0,1,0,609,2009,12
1,0,0,572,2010,1
0,1,0,515,2010,2
1,0,0,571,2010,3
0,0,0,540,2010,4
1,1,0,609,2010,5
1,0,0,583,2010,6
1,0,1,575,2010,7
1,0,0,601,2010,8
0,0,0,553,2010,9
0,0,0,579,2010,10
2,1,0,604,2010,11
0,0,0,605,2010,12
0,0,0,541,2011,1
1,0,0,457,2011,2
3,0,0,560,2011,3
1,0,0,514,2011,4
0,0,0,373,2011,5
